AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0114MM70091,SOUTHWARK,8,531930,179020,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70092,SOUTHWARK,8,532750,179680,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70093,SOUTHWARK,8,531730,179330,1,3 Pedestrian,2 Female,60+,83,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70094,SOUTHWARK,8,532430,177480,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70095,SOUTHWARK,8,531990,179080,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70096,SOUTHWARK,8,533380,179380,1,2 Passenger,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70098,SOUTHWARK,8,533410,180000,1,3 Pedestrian,2 Female,25-59,35,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70099,SOUTHWARK,8,531820,178690,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70101,SOUTHWARK,8,534440,177290,1,2 Passenger,2 Female,60+,69,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70102,SOUTHWARK,8,535070,177390,1,3 Pedestrian,2 Female,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70105,SOUTHWARK,8,532510,179590,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70106,SOUTHWARK,8,534910,177480,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70107,SOUTHWARK,8,532750,176710,1,3 Pedestrian,2 Female,25-59,54,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114MM70109,SOUTHWARK,8,533830,175290,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70110,SOUTHWARK,8,532030,179290,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70111,SOUTHWARK,8,533940,171650,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70112,SOUTHWARK,8,532490,178970,1,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70114,SOUTHWARK,8,535230,177670,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114MM70115,SOUTHWARK,8,534110,174630,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70117,SOUTHWARK,8,534200,176380,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70120,SOUTHWARK,8,535600,178730,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70122,SOUTHWARK,8,532420,177500,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70123,SOUTHWARK,8,532490,176910,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70124,SOUTHWARK,8,534210,176750,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70125,SOUTHWARK,8,534160,176490,1,2 Passenger,2 Female,60+,82,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70126,SOUTHWARK,8,533110,180140,1,3 Pedestrian,2 Female,25-59,58,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70128,SOUTHWARK,8,533600,176780,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70129,SOUTHWARK,8,534220,177980,1,3 Pedestrian,1 Male,0-15,12,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70130,SOUTHWARK,8,534870,178500,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114MM70131,SOUTHWARK,8,531670,179460,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70132,SOUTHWARK,8,534230,174210,1,1 Driver/Rider,1 Male,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70133,SOUTHWARK,8,532500,180140,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70134,SOUTHWARK,8,534370,178250,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70135,SOUTHWARK,8,533930,178130,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70136,SOUTHWARK,8,532460,177890,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70137,SOUTHWARK,8,531660,180380,2,3 Pedestrian,2 Female,16-24,20,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70137,SOUTHWARK,8,531660,180380,1,3 Pedestrian,1 Male,25-59,29,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70138,SOUTHWARK,8,532390,180020,1,2 Passenger,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114MM70139,SOUTHWARK,8,532530,176740,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70139,SOUTHWARK,8,532530,176740,2,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70142,SOUTHWARK,8,532360,179670,1,3 Pedestrian,2 Female,25-59,33,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114MM70144,SOUTHWARK,8,533180,175750,1,1 Driver/Rider,2 Female,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70144,SOUTHWARK,8,533180,175750,2,2 Passenger,2 Female,60+,70,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0114MM70145,SOUTHWARK,8,532570,178960,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70148,SOUTHWARK,8,533630,176780,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70149,SOUTHWARK,8,531870,179180,1,2 Passenger,2 Female,60+,64,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70152,SOUTHWARK,8,533710,177650,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70153,SOUTHWARK,8,533820,177660,1,1 Driver/Rider,2 Female,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70154,SOUTHWARK,8,533140,180140,1,2 Passenger,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114MM70155,SOUTHWARK,8,532540,176500,1,2 Passenger,1 Male,0-15,5,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70156,SOUTHWARK,8,533430,179990,1,3 Pedestrian,2 Female,60+,61,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70157,SOUTHWARK,8,532440,177960,1,1 Driver/Rider,1 Male,60+,64,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70158,SOUTHWARK,8,532260,180100,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70159,SOUTHWARK,8,534940,175750,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70160,SOUTHWARK,8,532280,178990,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70161,SOUTHWARK,8,532980,178730,1,1 Driver/Rider,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70162,SOUTHWARK,8,533990,175590,1,3 Pedestrian,1 Male,16-24,22,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0114MM70163,SOUTHWARK,8,535450,175070,1,3 Pedestrian,1 Male,0-15,15,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70165,SOUTHWARK,8,532210,176920,1,2 Passenger,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114MM70167,SOUTHWARK,8,535210,176680,1,1 Driver/Rider,2 Female,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70168,SOUTHWARK,8,532400,178060,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70169,SOUTHWARK,8,532610,176740,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70170,SOUTHWARK,8,532770,174840,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70171,SOUTHWARK,8,531780,179100,1,2 Passenger,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70172,SOUTHWARK,8,533800,174940,1,3 Pedestrian,2 Female,25-59,34,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70173,SOUTHWARK,8,533690,171820,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70176,SOUTHWARK,8,532960,176680,1,2 Passenger,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70177,SOUTHWARK,8,532180,179020,1,3 Pedestrian,1 Male,25-59,27,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70179,SOUTHWARK,8,534130,177110,1,1 Driver/Rider,2 Female,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70180,SOUTHWARK,8,534720,179510,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70181,SOUTHWARK,8,532740,176720,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70182,SOUTHWARK,8,534060,178060,2,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70182,SOUTHWARK,8,534060,178060,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70183,SOUTHWARK,8,532530,176730,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70184,SOUTHWARK,8,534430,175900,1,3 Pedestrian,1 Male,60+,84,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70185,SOUTHWARK,8,534630,175580,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70188,SOUTHWARK,8,531820,178690,1,2 Passenger,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70190,SOUTHWARK,8,534410,173340,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70191,SOUTHWARK,8,532270,180210,1,1 Driver/Rider,1 Male,25-59,40,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70192,SOUTHWARK,8,532960,173050,1,1 Driver/Rider,1 Male,60+,62,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70193,SOUTHWARK,8,534030,179490,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70194,SOUTHWARK,8,532220,178510,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70195,SOUTHWARK,8,533650,178310,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70196,SOUTHWARK,8,532440,177260,3,2 Passenger,2 Female,60+,62,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70196,SOUTHWARK,8,532440,177260,4,2 Passenger,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70196,SOUTHWARK,8,532440,177260,1,2 Passenger,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70196,SOUTHWARK,8,532440,177260,2,2 Passenger,1 Male,0-15,7,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70198,SOUTHWARK,8,532990,180230,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70201,SOUTHWARK,8,534060,179520,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70202,SOUTHWARK,8,533750,176790,1,2 Passenger,2 Female,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70204,SOUTHWARK,8,532030,179290,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70206,SOUTHWARK,8,532660,180160,2,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70206,SOUTHWARK,8,532660,180160,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70207,SOUTHWARK,8,532760,180300,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70208,SOUTHWARK,8,532020,179280,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70209,SOUTHWARK,8,533710,178700,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70210,SOUTHWARK,8,532900,179580,1,3 Pedestrian,1 Male,0-15,11,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114MM70211,SOUTHWARK,8,533180,179190,1,3 Pedestrian,1 Male,0-15,13,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
0114MM70212,SOUTHWARK,8,531880,179490,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114MM70213,SOUTHWARK,8,532470,176990,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70216,SOUTHWARK,8,534360,177620,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70217,SOUTHWARK,8,533640,178340,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114MM70220,SOUTHWARK,8,535100,179550,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70221,SOUTHWARK,8,533820,177930,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70222,SOUTHWARK,8,535720,174600,1,3 Pedestrian,2 Female,60+,82,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70224,SOUTHWARK,8,533830,176770,1,2 Passenger,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70225,SOUTHWARK,8,533310,178600,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70226,SOUTHWARK,8,531640,180010,1,2 Passenger,1 Male,0-15,9,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70227,SOUTHWARK,8,534230,174590,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70228,SOUTHWARK,8,534100,177170,1,2 Passenger,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70230,SOUTHWARK,8,533830,177610,1,3 Pedestrian,1 Male,0-15,9,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
0114MM70231,SOUTHWARK,8,533790,178990,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70232,SOUTHWARK,8,532440,177270,1,2 Passenger,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70233,SOUTHWARK,8,533310,178600,1,3 Pedestrian,2 Female,0-15,8,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70234,SOUTHWARK,8,534130,176710,1,3 Pedestrian,1 Male,25-59,40,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70235,SOUTHWARK,8,534040,175690,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70236,SOUTHWARK,8,531750,179330,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70237,SOUTHWARK,8,534540,176460,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70238,SOUTHWARK,8,533200,176710,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70239,SOUTHWARK,8,533500,178440,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70240,SOUTHWARK,8,534720,174554,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114MM70242,SOUTHWARK,8,532590,180140,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70243,SOUTHWARK,8,533910,173990,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0114MM70244,SOUTHWARK,8,532760,178020,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70245,SOUTHWARK,8,534570,176770,1,2 Passenger,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70247,SOUTHWARK,8,534280,176770,1,1 Driver/Rider,2 Female,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70248,SOUTHWARK,8,531710,179140,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70249,SOUTHWARK,8,533190,180110,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70250,SOUTHWARK,8,532780,179320,1,1 Driver/Rider,1 Male,16-24,21,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70251,SOUTHWARK,8,532490,176900,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70253,SOUTHWARK,8,534410,178830,1,2 Passenger,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70254,SOUTHWARK,8,534240,176750,1,3 Pedestrian,1 Male,25-59,55,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0114MM70255,SOUTHWARK,8,532090,180200,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70256,SOUTHWARK,8,533920,178130,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0114MM70257,SOUTHWARK,8,535320,177230,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70258,SOUTHWARK,8,533830,177660,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70259,SOUTHWARK,8,532900,176680,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70260,SOUTHWARK,8,532890,179590,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70261,SOUTHWARK,8,532090,178810,1,2 Passenger,2 Female,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70262,SOUTHWARK,8,533230,179700,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70263,SOUTHWARK,8,532458,179730,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70264,SOUTHWARK,8,533860,175850,1,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70265,SOUTHWARK,8,532660,174430,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70268,SOUTHWARK,8,534280,179230,1,3 Pedestrian,2 Female,0-15,5,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0114MM70269,SOUTHWARK,8,533950,171410,1,2 Passenger,2 Female,0-15,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0114MM70270,SOUTHWARK,8,533240,173170,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70272,SOUTHWARK,8,534430,175850,1,3 Pedestrian,2 Female,25-59,35,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70273,SOUTHWARK,8,535180,177330,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70275,SOUTHWARK,8,532780,179230,1,1 Driver/Rider,1 Male,25-59,43,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70276,SOUTHWARK,8,532960,178390,1,1 Driver/Rider,1 Male,25-59,37,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70277,SOUTHWARK,8,532160,176960,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70278,SOUTHWARK,8,535270,178680,1,1 Driver/Rider,1 Male,16-24,18,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70279,SOUTHWARK,8,533270,178640,1,3 Pedestrian,1 Male,0-15,15,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0114MM70280,SOUTHWARK,8,532770,180250,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0114MM70281,SOUTHWARK,8,531910,179040,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70282,SOUTHWARK,8,534510,176780,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70284,SOUTHWARK,8,532570,176260,1,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70285,SOUTHWARK,8,534727,174559,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0114MM70286,SOUTHWARK,8,533310,176720,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70287,SOUTHWARK,8,536070,179300,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0114MM70288,SOUTHWARK,8,532500,178970,1,2 Passenger,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0114MM70290,SOUTHWARK,8,531780,178170,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0114MM70291,SOUTHWARK,8,534210,177980,1,1 Driver/Rider,2 Female,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0114MM70294,SOUTHWARK,8,533830,175030,1,3 Pedestrian,1 Male,60+,90,1,2 Serious,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
